Race and Virulence Analysis of Puccinia triticina in China in 2014 and 2015		
Application of a rank-based method for improved cultivar selection in soft red winter wheat		
Botryosphaeriaceae species associated with avocado branch cankers in California		
Temporal genetic structure of Phytophthora capsici populations from a creek used for irrigation in Michigan		
The spread of a released clone of Gibberella zeae from different amounts of infested corn residue		
Mowing frequency and plant growth regulator effects on dollar spot severity and on duration of dollar spot control by fungicides		
A new TaqMan real-time polymerase chain reaction assay for quantification of Fusarium virguliforme in soil		
Predicting soybean rust incursions into the North American continental interior using crop monitoring, spore trapping, and aerobiological modeling		
Grain harvesting strategies to minimize grain quality losses due to fusarium head blight in wheat		
Dynamics of Pseudoperonospora cubensis sporangia in commercial cucurbit fields in Michigan		
Effects of dew removal and mowing frequency on fungicide performance for dollar spot control		
Clavibactermkhiganensis subsp. mkhiganensis, a seedborne tomato pathogen: Healthy seeds are still the goal		
Detection and molecular characterization of boscalid-resistant Botrytis cinerea isolates from strawberry		
Genetic diversity and aggressiveness of Ralstonia solanacearum strains causing bacterial wilt of potato in Uruguay		
Transmission efficiency of Potato virus Y strains PVY <sup>o</sup> and PVY <sup>N-Wi</sup> by five aphid species		
Resistance of Botrytis cinerea to multiple fungicides in Northern German small-fruit production		
Population structure of brown rot fungi on stone fruits in China		
Reproduction of soybean cyst nematode on dry bean cultivars over multiple generations		
Molecular and phenotypic characterization of Colletotrichum species associated with anthracnose disease of papaya in Trinidad		
International agriccltural research tackling the effects of global and climate changes on plant diseases in the developing world		
Sublethal doses of mefenoxam enhance pythium damping-off of geranium		
Distribution and survival of ascochyta blight pathogens in field-pea-cropping soils of Australia		
Comparison of water displacement and WinRHIZO software for plant root parameter assessment		
Analysis of Verticillium dahliae suggests a lack of correlation between genotypic diversity and virulence phenotypes		
Effects of hydrolyzable tannins on in vitro growth of Armillaria calvescens and A. gallica		
A multiplex PCR for the detection of Phytophthora nicotianae and P. cactorum, and a survey of their occurrence in strawberry production areas of Japan		
Distribution and prevalence of fusarium crown rot and common root rot pathogens of wheat in Montana		
First report of crown and root rot caused by rhizoctonia solani A-G4 on banana passionflower (Passiflora mollissima) in Italy		
Fusarium graminearum species complex associated with maize crowns and roots in the KwaZulu-Natal province of South Africa		
Identification, characterization, and distribution of southern rice black-streaked dwarf virus in Vietnam		
Identification and distribution of fungi associated with fairy rings on golf putting greens		
Development of a Bio-PCR protocol for the detection of Xanthomonas arboricola pv. pruni		
Control of Sphaeropsis rot in stored apple fruit caused by Sphaeropsis pyriputrescens with postharvest fungicides		
Specific and sensitive detection of Enterobacter mori using reliable RT-PCR		
Suppression of common scab of potato caused by Streptomyces turgidiscabies using lopsided oat green manure		
Novel and highly specific monoclonal antibody to Acidovorax citrulli and development of ELISA-based detection in cucurbit leaves and seed		
Factors affecting infection and disease development on olive leaves inoculated with Fusicladium oleagineum		
Verticillium wilt of skullcap and potential for pathogen dissemination via seeds and stems		
Population dynamics between Fusarium pseudograminearum and Bipolaris sorokiniana in wheat stems Using real-time qPCR		
Fungal Trunk Pathogens in the Grapevine Propagation Process: Potential Inoculum Sources, Detection, Identification, and Management Strategies		
Variation in phenotypic characteristics of Phytophthora capsici isolates from a worldwide collection		
A model to estimate the amount of primary inoculum of Elsino?л ampelina		
Seasonal progress of charcoal rot and its impact on soybean productivity		
Susceptibility to laurel wilt and disease incidence in two rare plant species, Pondberry and pondspice		
Variability among forecast models for the apple sooty blotch/flyspeck disease complex		
Soil suppressiveness to Fusarium disease following organic amendments and solarization		
Factors affecting infection and disease development on olive leaves inoculated with Fusicladium oleagineum		
First report of Sclerotinia stem and twig blight caused by Sclerotinia sclerotiorum on citrus volkameriana rootstock in Italy		
First report of cladobotryum mycophilum causing cobweb on cultivated king oyster mushroom in spain		
Genetic transformation of passionflower and evaluation of R1 and R2 generations for resistance to Cowpea aphid borne mosaic virus		
Effect of biochar amendments on mycorrhizal associations and Fusarium crown and root rot of asparagus in replant soils		
Stem-pitting citrus tristeza virus predominantly transmitted by the brown citrus aphid from mixed infections containing non-stem-pitting and stem-pitting isolates		
Comparisons of visual rust assessments and DNA levels of Phakopsora Pachyrhizi in soybean genotypes varying in rust resistance		
Occurrence of QoI resistance and detection of the G143A mutation in Michigan populations of Venturia inaequalis		
Field damage to yellow starthistle infected by Synchytrium solstitiale, and greenhouse maintenance and host range of the fungus		
Stem rust resistance in A-genome diploid relatives of wheat		
Effect of application method and rate on residual efficacy of mefenoxam and phosphorous acid fungicides in the control of pink rot of potato		
Challenges and successes in managing oak wilt in the United States		
Effect of foliarly applied spirotetramat on reproduction of Heterodera avenae on wheat roots		
Influences from long-term crop rotation, soil tillage, and fertility on the severity of rice grain smuts		
Begomoviruses associated with bean golden mosaic disease in Nicaragua		
Acquisition and transmissibility of U.S. soybean dwarf virus isolates by the soybean aphid, Aphis glycines		
Toward fungicidal management of laurel wilt of avocado		
Evaluation of nonpathogenic Fusarium oxysporum and Pseudomonas fluorescens for Panama disease control		
Physiologic specialization of Puccinia triticina on wheat in the United States in 2009		
Identification of resistance to multiple fungicides in field populations of Venturia inaequalis		
Characterization of Phytophthora spp. on floriculture crops in North Carolina		
Efficacy of four soil treatments against fusarium oxysporum f. sp. vasinfectum race 4 on cotton		
Polyphasic characterization of pigmented strains of Xanthomonas pathogenic to cashew trees		
Assessing the adequacy of the simulation model LATEBLIGHT under nicaraguan conditions		
Disease severity and microsclerotium properties of the sorghum sooty stripe pathogen, Ramulispora sorghi		
Evaluation of vineyard weeds as potential hosts of black-foot and petri disease pathogens		
Fifteen years of verticillium wilt of lettuce in Americas salad bowl: A tale of immigration, subjugation, and abatement		
Resistance of closely mown fine fescue and bentgrass species to snow mold pathogens		
Effects of fuel reduction treatments on incidence of Phytophthora species in soil of a southern Appalachian Mountain forest		
Molecular and pathogenic characterization of Fusarium redolens, a new causal agent of Fusarium yellows in Chickpea		
Characterizing fenbuconazole and propiconazole sensitivity and prevalence of 'Mona' in isolates of Monilinia fructicola from New York		
Validation of a real-time polymerase chain reaction assay for the identification of Meloidogyne arenaria		
Sensitivity of Monilinia fructicola from Brazil to tebuconazole, azoxystrobin, and thiophanate-methyl and implications for disease management		
First report of a 16srII-D subgroup phytoplasma associated with pale purple coneflower witches'-broom disease in Australia		
Bud and root rot of windmill palm (Trachycarpus fortunei) caused by simultaneous infections of Phytophthora palmivora and p. nicotianae in sicily		
Seasonal prevalence of species of binucleate Rhizoctonia fungi in growing medium, leaf litter, and stems of container-grown azalea		
Epidemiology of soybean rust in soybean sentinel plots in Florida		
Feasibility of delaying removal of row covers to suppress bacterial wilt of muskmelon (Cucumis melo)		
Competitive parasitic fitness of mefenoxam-sensitive and -resistant isolates of Phytophthora erythroseptica under fungicide selection pressure		
Peach rusty spot is caused by the apple powdery mildew fungus, Podosphaera leucotricha		
Detection and quantification of Peronospora tabacina using a real-time polymerase chain reaction assay		
Widespread occurrence and low genetic diversity of Colombian datura virus in Brugmansia suggest an anthropogenic role in virus selection and spread		
Soil application of SAR inducers imidacloprid, thiamethoxam, and acibenzolar-S-methyl for citrus canker control in young grapefruit trees		
Orange rust effects on leaf photosynthesis and related characters of sugarcane		
Postharvest fruit rots of apple in Greece: Pathogen incidence and relationships between fruit quality parameters, cultivar susceptibility, and patulin production		
Characterization of Botrytis cinerea isolates present in Thompson seedless table grapes in the Central Valley of Chile		
Presence of Fusarium spp. in air and soil associated with sorghum fields		
Vitis californica and Vitis californica ?Ч Vitis vinifera hybrids are hosts for Grapevine leafroll-associated virus-2 and -3 and Grapevine virus A and B		
Experimental verification of seed transmission of Zucchini yellow mosaic virus		
Host range and phylogenetic relationships of Albugo candida from cruciferous hosts in Western Australia, with special reference to Brassica juncea		
Sources of resistance to stem rust race Ug99 in spring wheat germplasm		
Real-time PCR detection and discrimination of the southern and common corn rust pathogens Puccinia polysora and Puccinia sorghi		
A novel Fusarium species causes a canker disease of the critically endangered conifer, Torreya taxifolia		
Sources of Iris yellow spot virus in New York		
First Report of Tomato spotted wilt virus on Tobacco in Campania, Italy		
Identification of a New Waitea circinata variety causing basal leaf blight of seashore paspalum		
Sensitive and specific detection of Xanthomonas oryzae pv. oryzae by real-time bio-PCR using pathovar-specific primers based on an rhs family gene		
Effects of integrating cultivar resistance and fungicide application on Fusarium head blight and deoxynivalenol in winter wheat		
Cultivar effects on the expression of induced resistance in spring barley		
Effects of virus infection on susceptibility of soybean plants to Phomopsis longicolla		
Identification of new sources of resistance in winter wheat to multiple strains of Xanthomonas translucens pv. undulosa		
Characterizing resistance to Phakopsora pachyrhizi in soybean		
Tillage, crop rotation, and hybrid effects on residue and corn anthracnose occurrence in Wisconsin		
A degree-day model for the latent period of Stagonospora nodorum blotch in winter wheat		
Managemant of Botrytis leaf blight of onion: The Qu?йbec experience of 20 tears of continual improvement		
Influence of isolation method on recovery of Pythium species from forest nursery soils in Oregon and Washington		
Virulence and molecular genotyping studies of Sporisorium reilianum isolates in sorghum		
Microbial profiling of cultural systems for suppression of Phytophthora root rot in Fraser fir		
Quantification of Pseudocercospora fuligena in tomato lines carrying introgressions from Solanum habrochaites Using a qPCR assay		
Performance of two bioherbicide fungi for waterhemp and pigweed control in pumpkin and soybean		
Effects of shade intensity and duration on Asian soybean rust caused by Phakopsora pachyrhizi		
Effect of silicon nutrition on oxidative stress induced by Phytophthora melonis infection in cucumber		
Effect of soil temperature and plant age at time of inoculation on progress of root rot and foliar symptoms of soybean sudden death syndrome		
Witches'-broom disease of lime affects seed germination and seedling growth but is not seed transmissible		
Analysis of induction and establishment of dwarf bunt of wheat under marginal climatic conditions		
Effectiveness of kasugamycin against Erwinia amylovora and its potential use for managing fire blight of pear		
A new view of sooty blotch and flyspeck		
Analysis of a prophage gene frequency revealed population variation of 'Candidatus Liberibacter asiaticus' from two citrus-growing provinces in China		
Infection of soybean seed by Fusarium graminearum and effect of seed treatments on disease under controlled conditions		
Evaluation of African cultivated rice Oryza glaberrima for resistance to bacterial blight		
Evaluation of microbial products for management of powdery mildew on summer squash and cantaloupe in Florida		
Plant-parasitic nematodes are potential pathogens of Miscanthus ?Ч giganteus and Panicum virgatum used for biofuels		
Colletotrichum lindemuthianum races prevalent on dry beans in North Dakota and potential sources of resistance		
Evaluation of loop-mediated isothermal amplification for rapid detection of Erwinia amylovora on pear and apple fruit flowers		
First report of verticillium wilt on field-grown cosmos caused by verticillium dahliae in California		
Occurrence of a 16SrIV group phytoplasma not previously associated with palm species in Yucatan, Mexico		
Cucumber mosaic virus 2b-deficient mutant causes limited, asymptomatic infection of bell pepper		
First report of phytophthora ramorum causing shoot dieback on bilberry (Vaccinium myrtillus) in Norway		
First report of tomato yellow leaf curl virus infecting cowpea in China		
Root and basal stem rot of rose caused by phytophthora citrophthora in Italy		
Soft rot disease severity is affected by potato physiology and pectobacterium taxa		
Optimum timing of preplant applications of glyphosate to manage rhizoctonia root rot in barley		
First report of association of mucor circinelloides on noni (Morinda citrifolia) in Hawaii		
First report of tomato chlorosis virus in tomato from Hungary		
First report of root and basal stem rot caused by phytophthora nicotianae on tree aeonium (Aeonium arboreum) in Italy		
Yellow stunt, a tobacco disease caused by pythium dissotocum, in southern parts of Brazil		
First report of sweet potato chlorotic stunt virus infecting sweet potato in China		
First report of polymyxa graminis f. sp. temperata, a vector of soilborne cereal viruses in the Czech Republic		
First report of black sigatoka disease in banana caused by mycosphaerella fijiensis on martinique Island		
Effect of postsymptom application of fungicides on urediniospore production by puccinia triticina on wheat and P. hemerocallidis on daylily		
First report of carnation mottle virus in phalaenopsis orchids		
Evaluation of six models to estimate ascospore maturation in venturia pyrina		
Identification of sources of resistance to xanthomonas campestris pv. campestris in brassica napus crops		
First report of puccinia thaliae rust on Canna Lily in Louisiana		
First report of cucurbit chlorotic yellows virus infecting melon in China		
Development and suppression of aerial stem rot in commercial potato fields		
First report of fusarium wilt caused by fusarium oxysporum f. sp. canariensis on Canary Island date palm in Texas and South Carolina		
Use of gibberellic acid for management of bunch rot on chardonnay and vignoles grape		
Occurrence of chilli veinal mottle virus in nicotiana tabacum in Yunnan, China		
First report of flavescence dor?йe-related phytoplasma affecting grapevines in Croatia		
Field evaluations of leaf spot resistance and yield in peanut genotypes in the United States and Bolivia		
First report of impatiens necrotic spot virus in gentiana macrophylla in China		
First report of bidens mottle virus infecting calendula in taiwan		
First report of oidium longipes as the causal agent of petunia powdery mildew in the United Kingdom		
First report of potato yellowing virus (Genus ilarvirus) in solanum phureja from ecuador		
First report of false rust caused by synchytrium minutum on kudzu in Korea		
Cucurbit yellow stunting disorder virus detected in pigweed in Florida		
Effects of Silicon applications on soybean rust development under greenhouse and field conditions		
First report of alternaria alternata causing leaf blight of Potatoes in South Africa		
First report of a group 16SrII phytoplasma associated with witches'-broom of Eggplant in Oman		
Exogenous controls increase negative call veracity in multiplexed, quantitative PCR assays for phakopsora pachyrhizi		
Plant age affects root infection and development of foliar symptoms of soybean sudden death syndrome		
First report of orange rust of sugarcane caused by puccinia kuehnii in ivory coast and Cameroon		
Detection and monitoring of greeneria uvicola and colletotrichum acutatum development on grapevines by real-time PCR		
First report of embellisia hyacinthi causing a leaf spot and bulb skin spot disease on scilla peruviana in California		
First report of leaf spot of houttuynia cordata caused by alternaria alternata in China		
First report of cylindrocarpon pauciseptatum associated with grapevine decline from Castilla y Le??n, Spain		
Phytophthora-ID.org: A sequence-based phytophthora identification tool		
A rapid colorimetric microtiter bioassay to evaluate fungicide sensitivity among verticillium dahliae isolates		
Control of apple blue mold by the antagonistic yeast pichia anomala strain K: Screening of UV protectants for preharvest application		
Severe outbreak of bacterial canker caused by Clavibacter michiganensis subsp. michiganensis on Tomato in Central Italy		
Recognition and molecular discrimination of severe and mild PVY<sup>O</sup> variants of Potato virus y in potato in New Brunswick, Canada		
First report of in vitro fludioxonil-resistant isolates of Fusarium spp. causing potato dry rot in Michigan		
First report of leaf spot disease of peony caused by Seimatosporium botan in China		
First report of Phytophthora ramorum on Rhododendron in Greece		
First report of anthracnose caused by Glomerella acutata on chili pepper in China		
Identification of weed hosts of Tomato yellow leaf curl virus in Cyprus		
First report of Cercospora beticola causing a leaf spot disease on Acanthus mollis in California		
First Report of the Ash Dieback Pathogen Hymenoscyphus pseudoalbidus (Anamorph Chalara fraxinea) on Fraxinus excelsior in Belgium		
Occurrence of grapevine trunk disease caused by Botryosphaeria rhodina in China		
Snake melon asteroid mosaic virus, a tentative new member of the genus Sobemovirus infecting cucurbits		
Powdery mildew caused by Golovinomyces cichoracearum on moth mullein (Verbascum blattaria) in Italy		
Development of a quick quantitative real-time PCR for the in vivo detection and quantification of Peach latent mosaic viroid		
Baseline sensitivity of Cercospora zeae-maydis to quinone outside inhibitor fungicides		
Occurrence and yield effects of wheat infected with Triticum mosaic virus in Kansas		
First Report of Tomato spotted wilt virus on Gerbera hybrida in Serbia		
First report of shallot latent virus in Garlic in Brazil		
Real-time PCR quantification of Peronospora arborescens, the opium poppy downy mildew pathogen, in seed stocks and symptomless infected plants		
Reduction of corky root infections on greenhouse tomato crops by soil solarization in South Italy		
First report of Cucurbit aphid-borne yellows virus in squash in the Czech Republic		
Control of common bunt in organic wheat		
First report of Golovinomyces cichoracearum as the causal agent of powdery mildew on Symphyotrichum novi-belgii (Synonym Aster novi-belgii) in Denmark		
First report of botrytis hyacinthi on Pineapple Lily in California		
First neport of Nigrospora sphaerica causing leaf spots on Chinese wisteria: A new host of the pathogen		
First report of root rot on Rhodiola sachalinensis Caused by Fusarium verticillioides (Gibberella fujikuroi) in China		
First report of bark dieback on blueberry caused by Botryosphaeria doth idea in Korea		
Exogenous applications of abscisic acid increase curing of Pierce's disease-affected grapevines growing in pots		
Quantifying the within-field temporal and spatial dynamics of Bean pod mottle virus in Soybean		
First report of bacterial wilt caused by Ralstonia solanacearum on Mesona chinensis in China		
Identification of atoxigenic Aspergillus flavus isolates to reduce aflatoxin contamination of maize in Kenya		
First report of Sweetpotato symptomless virus 1 and Sweetpotato virus A in Sweetpotatoes in Tanzania		
Competitive ability and fitness of Alternaria alternata isolates resistant to QoI fungicides		
First report of Bituminaria witches'-broom in Australia caused by a 16SrII phytoplasma		
First report of Brown felt blight caused by Herpotrichia juniperi on Cedrus libani in Turkey		
First report of brown rot of peach caused by Monilinia fructicola in southeastern China		
Analysis of Xylem fluid components in almond cultivars differing in resistance to almond leaf scorch disease		
Variation within and among Vitis spp. for foliar resistance to the powdery mildew pathogen Erysiphe necator		
Influence of inoculation date on the colonization of Xylella fastidiosa and the persistence of almond leaf scorch disease among almond cultivars		
First report of тАШCandidatus Phytoplasma asterisтАЩ associated with oilseed rape phyllody in Poland		
First report of Seiridium unicorne causing bark cankers on a Monterey cypress in California		
Detection of variants of wheat stem rust race ug99 (Puccinia graminis f. sp. tritici) in Zimbabwe and Mozambique		
First report of a new wheat leaf rust {puccinia triticina) race with virulence for lrl2, 13, and 37 in south africa		
The perfect stage of powdery mildew (Erysiphe polygoni) of beta vulgaris found in Michigan		
Fusarium tricinctum associated with head blight on wheat in Argentina		
First report of Fusarium torulosum causing dry rot of seed potato tubers in the United States		
First report of phytophthora infestans genotype US23 causing late blight in Canada		
First report of canker disease caused by diplodia olivarum on carob tree in Italy		
Observations from a quarter century of evaluating reactions of sweet corn hybrids in disease nurseries		
A new Phytophthora sp. causing root and collar rot on Pistacia lentiscus in Italy		
Efficacy of a nonpathogenic Acidovorax citrulli strain as a biocontrol seed treatment for bacterial fruit blotch of cucurbits		
Site-specific Septoria leaf blotch risk assessment in winter wheat using weather-radar rainfall estimates		
First report of dieback on hybrid rhododendrons caused by Neofusicoccum luteum and N. parvum in Spain		
First Report of Charcoal Rot Caused by Macrophomina phaseolina in Sunflower in Turkey		
Citrus sudden death is transmitted by graft-inoculation and natural transmission is prevented by individual insect-proof cages		
First report of crown rot on gypsophila (Gypsophila paniculata) caused by Fusarium proliferatum in Korea		
First report of Cylindrocarpon liriodendri on kiwifruit in Turkey		
First report of Pepino mosaic virus infecting greenhouse cherry tomatoes in Greece		
First report of Erysiphe quercicola causing powdery mildew on ubame oak in Korea		
First report of brown ring patch caused by Waitea circinata var. circinata on Poa annua and Agrostis stolonifera in New Jersey		
First record of bacterial crown rot of papaya (Carica papaya) caused by an Erwinia papayae-like bacterium in the Kingdom of Tonga		
Root infections may challenge management of invasive Phytophthora spp. in U.K. woodlands		
Development of a novel rolling-circle amplification technique to detect Banana streak virus that also discriminates between integrated and episomal virus sequences		
Dynamics of soybean rust epidemics in sequential plantings of soybean cultivars in Nigeria		
First report of Cucurbit chlorotic yellows virus in cucumber, melon, and watermelon in China		
First report of fusarium wilt in the broomrape parasite growing on Brassica spp. in India		
First report of bacterial leaf streak caused by Xanthomonas oryzae pv. oryzicola on rice in Burkina Faso		
Bacterial leaf spot caused by the quarantine pathogen Xanthomonas arboricola pv. pruni on cherry laurel in central Italy		
Antifungal activity and possible mode of action of borate against Colletotrichum gloeosporioides on mango		
First report of Albugo candida causing white rust on Lunaria annua in Italy		
Selection of biocontrol agents of pink rot based on efficacy and growth kinetics index rankings		
First report of occurrence of pyrimethanil resistance in Penicillium expansum from stored apples in Washington State		
First report of bacterial blight of cabbage (Brassica oleracea var. capitata) caused by Pseudomonas cannabina pv. alisalensis in California		
First report of Wheat dwarf virus and its vector (Psammotettix provincialis) affecting wheat and barley crops in Syria		
Resistance in winter wheat lines to initial infection and spread within spikes by deoxynivalenol and nivalenol chemotypes of Fusarium graminearum		
First report of downy mildew of lima bean caused by Phytophthora phaseoli in Virginia		
Colletotrichum simmondsii causing anthracnose on safflower in the Czech Republic		
Bacterial soft rot of Oncidium orchids caused by a Dickeya sp. (Pectobacterium chrysanthemi) in Florida		
First report of Xanthomonas axonopodis pv. poinsettiicola causing bacterial leaf spot of Euphorbia pulcherrima in Slovenia		
First report of Eggplant mottled dwarf virus in Pittosporum tobira in Spain		
In vitro assessment of Sclerotinia homoeocarpa resistance to fungicides and plant growth regulators		
First report of gummosis disease of Japanese apricot caused by Botryosphaeria dothidea in Taiwan		
First report of damping-off caused by Rhizoctonia solani AG-4 on pink ip?к (Tabebuia impetiginosa) in Italy		
First report of the spiral nematode Scutellonema brachyurum on lilyturf in the United States		
Satellite remote sensing of wheat infected by Wheat streak mosaic virus		
Genetic characterization of barley net blotch resistance genes		
First report of Penicillium griseofulvum causing blue mold on stored apples in Italy (Piedmont)		
Genetic diversity of Watermelon mosaic virus in Slovakia and Iran shows distinct pattern		
First report of Sugarcane mosaic virus on Maize in the centre region of France		
First report of Goss's bacterial wilt and leaf blight (Clavibacter michiganensis subsp. Nebraskensis) of corn in Texas		
First report of Pilidiella granati on pomegranate with symptoms of crown rot in the prefecture of Xanthi, Greece		
First report of Fusarium wilt of paper flower (Bougainvillea glabra) caused by Fusarium oxysporum in Italy		
First report of crown rot and stem rot caused by rhizoctonia solani AG-4 on marmalade bush in Italy		
First record of the cereal cyst nematode Heterodera filipjevi in China		
First report of bacterial stem and root rot of sweetpotato caused by a Dickeya sp. (Erwinia chrysanthemi) in China		
First report of anthracnose of Digitaria sanguinalis caused by Colletotrichum hanaui in China		
First report of anthracnose caused by Colletotrichum gloeosporioides on ramie in China		
First report of potato mop-top virus in North Dakota		
First report of Fusarium wilt on Eremophila spp. caused by Fusarium oxysporum in Italy		
First report of Neofusicoccum macroclavatum as a canker pathogen of grapevine in New Zealand		
First report of Iris yellow spot virus in onion in Hawaii		
Evaluation of inoculation methods to reproduce sunflower premature ripening caused by Phoma macdonaldii		
Etiology and management of a mandarin rind disorder in california		
Occurrence of Alfalfa mosaic virus in soybean in Tennessee		
First report of grapevine leafroll-associated virus 5 in Spain		
Comparison by sequence-based and electron microscopic analyses of fig mosaic virus isolates obtained from field and experimentally inoculated fig plants		
Drippy pod of white lupine: A new bacterial disease caused by a pathovar of Brenneria quercina		
The golden potato cyst nematode Globodera rostochiensis pathotype Ro1 in the Saint-Amable regulated area in Quebec, Canada		
Dry heat and hot water treatments for disinfesting cottonseed of Fusarium oxysporum f. sp. vasinfectum		
First report of Botryosphaeria dothidea causing shoot blight of kiwifruit (Actinidia deliciosa) in Greece		
First report of sexual reproduction by the soybean sudden death syndrome pathogen Fusarium tucumaniae in Nature		
First report of collar and root rot caused by Phytophthora tentaculata on witloof chicory (Cichorium intybus) in Italy		
First report of bot canker caused by Diplodia corticola on coast live oak (Quercus agrifolia) in California		
Population structure and resistance to mefenoxam of Phytophthora capsici in New York State		
First report of the ??-tubulin E198A allele for fungicide resistance in Monilinia fructicola from South Carolina		
First report of Corynespora leaf spot on patchouli caused by Corynespora cassiicola in China		
Effect of temperature on conidial germination of Botryosphaeriaceae species infecting grapevines		
First report of papaya fruit rot caused by Colletotrichum magna in Brazil		
Effects of postharvest onion curing parameters on Enterobacter bulb decay in storage		
First report of an Armillaria root disease pathogen, armillaria gallica, associated with several new hosts in Hawaii		
First report of fruit rot on Hylocereus undatus caused by Bipolaris cactivora in South Florida		
Potato virus Y: An evolving concern for potato crops in the United States and Canada		
First report of bacteril speck of tomato caused by Pseudomonas syringae pv. tomato race 1 in Portugal		
First report of Impatiens necrotic spot virus infecting greenhouse-grown potatoes in Washington State		
First report of bacterium and yeasts associated with pineapple fruit collapse in Esp?нrito Santo State, Brazil		
Effects of temperature, humidity, and wounding on development of Phytophthora rot of cucumber fruit		
Additional sources of broad-spectrum resistance to Puccinia coronata f. sp. avenae from Canadian accessions of Avena barbata		
Culturing Phakopsora pachyrhizi on detached leaves and urediniospore survival at different temperatures and relative humidities		
Rotation and cover crop effects on soilborne potato diseases, tuber yield, and soil microbial communities		
HrpN<inf>Ea</inf> induces Chinese cabbage resistance to bacterial soft rot by inhibiting the bacterial attachment to root surfaces		
Root and basal stem rot of mandevillas caused by phytophthora spp. in Eastern Sicily		
First report of a decline and wilt of young olive trees caused by simultaneous infections of verticillium da hlia e and phytophthora palmivora in sicily		
Characterization of Rhizoctonia spp. isolates associated with damping-off disease in cotton and tobacco seedlings in Greece		
Evaluation of soil solarization and flooding as management tools for Fusarium wilt of lettuce		
Occurrence and detection of Globodera rostochiensis on Vancouver Island, British Columbia: An update		
Pyrosequencing assessment of soil microbial communities in organic and conventional potato farms		
Soybean blotchy mosaic virus, a new Cytorhabdovirus found in South Africa		
Population structure, mating type, and mefenoxam sensitivity of Phytophthora nicotianae in Virginia Tobacco fields		
Double-virus resistance of transgenic oriental melon conferred by untranslatable chimeric construct carrying partial coat protein genes of two viruses		
Effect of soybean cyst nematode on growth of dry bean in the field		
Removal of wet deposited Phakopsora pachyrhizi urediniospores from soybean leaves by subsequent rainfall		
Characterization of the spatiotemporal attributes of Sclerotinia flower blight epidemics in a perennial pyrethrum pathosystem		
The reemergence and management of currant cane dieback in the northeastern United States		
Detection of elm yellows phytoplasma in elms and insects using real-time PCR		
Monitoring fungicide sensitivity of Cercospora beticola of suger beet for disease management decisions		
Influence of temperature and wetness periods on the development of stemphylium blight on lentil		
Disease notes: First report of hiemalis begonias wilt disease caused by fusarium Foetens in Canada		
Disease notes: First report of cucumber mosaic virus on vigna marina in Taiwan		
Disease notes: First report of soft rot of potatoes caused by dickeya dadantii in Zimbabwe		
Disease notes: First report of tomato yellow leaf curl virus co-infecting pepper with tomato chino la paz virus in baja california sur, Mexico		
Grafting for management of southern root-knot nematode, meloidogyne incognita, in watermelon		
Isolation, purification, and biological activity of a phytotoxin produced by stemphylium solani		
Disease notes: First report of crotalaria spectabilis fasciation associated with 'candidatus phytoplasma asteris' in India		
Detection and frequency of lily viruses in Argentina		
Disease notes: Occurrences of diplodia leaf streak caused by stenocarpella macrospora on corn (zea mays) in Illinois		
A method to induce stem cankers by inoculating nonwounded populus clones with septoria musiva spore suspensions		
Biological, physical, and molecular properties of a papaya lethal yellowing virus isolate		
Disease notes: First report of tomato yellow leaf curl virus in tomato in mauritius		
Oxytetracycline dynamics on peach leaves in relation to temperature, sunlight, and simulated rain		
Disease notes: First report of eastern filbert blight on corylus avellana 'gasaway' and 'VR20-11' caused by anisogramma anomala in new jersey		
Verticillium wilt: A threat to artichoke production		
Evaluation of verticillium wilt resistance in mentha arvensis and M. longifolia genotypes		
Disease notes: First report of myrothecium roridum causing leaf spot on garden hydrangea in the United States		
Disease notes: Stem rot of branched broomrape (Orobanche Ramosa) caused by sclerotium rolfsii in Chile		
Application of cdna macroarray for simultaneous detection of 12 potato viruses		
Disease notes: First report of twig and branch dieback of english walnut (juglans regia) caused by neofusicoccum mediterraneum in California		
Disease notes: First report of capsicum chlorosis virus infecting Tomato in Taiwan		
Disease notes: A new type of strain of xanthomonas euvesicatoria causing bacterial spot of tomato and pepper in Grenada		
Lack of evidence for transmission of 'candidatus liberibacter asiaticus' through citrus seed taken from affected fruit		
Disease notes: First report of 'candidatus phytoplasma aurantifolia' associated with severe stunting and necrosis on the invasive weed pelargonium capitatum in western Australia		
Disease notes: First report of root and crown rot of almond caused by phytophthora Spp. in Turkey		
Disease notes: First identification of an unusual recombinant potato virus y strain in Potato in Mexico		
Characterization of lagenaria mild mosaic virus, a new potexvirus from bottle gourd in myanmar		
Disease notes: First report of spiroplasma citri in carrot in Europe		
Disease notes: First report of the cyst nematode (heterodera filipjevi) on wheat in Henan Province, China		
Inheritance of resistance to foliar infection by xanthomonas axonopodis PV. dieffenbachiae in anthurium		
Effect of sclerotium density and irrigation on disease incidence and on efficacy of Coniothyrium minitans in suppressing lettuce drop caused by Sclerotinia sclerotiorum		
Phenolic responses of resistant and susceptible olive cultivars induced by defoliating and nondefoliating Verticillium dahliae pathotypes		
Increased severity of foliar diseases of sweet corn infected with maize dwarf mosaic and sugarcane mosaic viruses		
A new Potyvirus sp. infects Verbena exhibiting leaf mottling symptoms		
Mancozeb: Past, present, and future		
Identification and pathogenicity of Chrysoporthe cubensis on Eucalyptus and Syzygium spp. in South China		
